Date,Open,High,Low,Close,Adj Close,Volume
2018-05-09,94.370003,94.370003,94.370003,94.370003,85.871002,0
2018-05-10,95.279999,95.279999,95.279999,95.279999,86.699051,0
2018-05-11,95.470001,95.470001,95.470001,95.470001,86.871933,0
2018-05-14,95.559998,95.559998,95.559998,95.559998,86.953842,0
2018-05-15,94.910004,94.910004,94.910004,94.910004,86.362366,0
2018-05-16,95.320000,95.320000,95.320000,95.320000,86.735458,0
2018-05-17,95.269997,95.269997,95.269997,95.269997,86.689926,0
2018-05-18,95.029999,95.029999,95.029999,95.029999,86.471565,0
2018-05-21,95.730003,95.730003,95.730003,95.730003,87.108513,0
2018-05-22,95.430000,95.430000,95.430000,95.430000,86.835564,0
2018-05-23,95.739998,95.739998,95.739998,95.739998,87.117645,0
2018-05-24,95.550003,95.550003,95.550003,95.550003,86.944748,0
2018-05-25,95.339996,95.339996,95.339996,95.339996,86.753647,0
2018-05-29,94.239998,94.239998,94.239998,94.239998,85.752708,0
2018-05-30,95.449997,95.449997,95.449997,95.449997,86.853737,0
2018-05-31,94.820000,94.820000,94.820000,94.820000,86.280479,0
2018-06-01,95.860001,95.860001,95.860001,95.860001,87.226799,0
2018-06-04,96.290001,96.290001,96.290001,96.290001,87.618080,0
2018-06-05,96.360001,96.360001,96.360001,96.360001,87.681786,0
2018-06-06,97.190002,97.190002,97.190002,97.190002,88.437027,0
2018-06-07,97.139999,97.139999,97.139999,97.139999,88.391533,0
2018-06-08,97.449997,97.449997,97.449997,97.449997,88.673615,0
2018-06-11,97.550003,97.550003,97.550003,97.550003,88.764603,0
2018-06-12,97.720001,97.720001,97.720001,97.720001,88.919304,0
2018-06-13,97.330002,97.330002,97.330002,97.330002,88.564415,0
2018-06-14,97.599998,97.599998,97.599998,97.599998,88.810097,0
2018-06-15,97.519997,97.519997,97.519997,97.519997,88.737312,0
2018-06-18,97.309998,97.309998,97.309998,97.309998,88.546242,0
2018-06-19,96.919998,96.919998,96.919998,96.919998,88.191353,0
2018-06-20,97.089996,97.089996,97.089996,97.089996,88.346039,0
2018-06-21,96.480003,96.480003,96.480003,96.480003,87.790993,0
2018-06-22,96.660004,96.660004,96.660004,96.660004,87.954765,0
2018-06-25,95.339996,95.339996,95.339996,95.339996,86.753647,0
2018-06-26,95.550003,95.550003,95.550003,95.550003,86.944748,0
2018-06-27,94.730003,94.730003,94.730003,94.730003,86.198578,0
2018-06-28,95.320000,95.320000,95.320000,95.320000,86.735458,0
2018-06-29,95.400002,95.400002,95.400002,95.400002,86.808250,0
2018-07-02,95.699997,95.699997,95.699997,95.699997,87.081223,0
2018-07-03,95.220001,95.220001,95.220001,95.220001,86.644463,0
2018-07-05,96.070000,96.070000,96.070000,96.070000,87.417900,0
2018-07-06,96.440002,96.440002,96.440002,96.440002,88.166634,0
2018-07-09,97.320000,97.320000,97.320000,97.320000,88.971146,0
2018-07-10,97.660004,97.660004,97.660004,97.660004,89.281975,0
2018-07-11,96.970001,96.970001,96.970001,96.970001,88.651176,0
2018-07-12,97.830002,97.830002,97.830002,97.830002,89.437401,0
