Date,Open,High,Low,Close,Adj Close,Volume
2018-05-09,246.210007,246.210007,246.210007,246.210007,206.617615,0
2018-05-10,248.570007,248.570007,248.570007,248.570007,208.598099,0
2018-05-11,249.080002,249.080002,249.080002,249.080002,209.026077,0
2018-05-14,249.309998,249.309998,249.309998,249.309998,209.219116,0
2018-05-15,247.619995,247.619995,247.619995,247.619995,207.800842,0
2018-05-16,248.690002,248.690002,248.690002,248.690002,208.698776,0
2018-05-17,248.550003,248.550003,248.550003,248.550003,208.581329,0
2018-05-18,247.919998,247.919998,247.919998,247.919998,208.052658,0
2018-05-21,249.759995,249.759995,249.759995,249.759995,209.596741,0
2018-05-22,248.979996,248.979996,248.979996,248.979996,208.942184,0
2018-05-23,249.789993,249.789993,249.789993,249.789993,209.621902,0
2018-05-24,249.300003,249.300003,249.300003,249.300003,209.210693,0
2018-05-25,248.740005,248.740005,248.740005,248.740005,208.740784,0
2018-05-29,245.869995,245.869995,245.869995,245.869995,206.332275,0
2018-05-30,249.039993,249.039993,249.039993,249.039993,208.992538,0
2018-05-31,247.380005,247.380005,247.380005,247.380005,207.599487,0
2018-06-01,250.080002,250.080002,250.080002,250.080002,209.865295,0
2018-06-04,251.210007,251.210007,251.210007,251.210007,210.813568,0
2018-06-05,251.399994,251.399994,251.399994,251.399994,210.973022,0
2018-06-06,253.559998,253.559998,253.559998,253.559998,212.785690,0
2018-06-07,253.429993,253.429993,253.429993,253.429993,212.676590,0
2018-06-08,254.229996,254.229996,254.229996,254.229996,213.347961,0
2018-06-11,254.500000,254.500000,254.500000,254.500000,213.574509,0
2018-06-12,254.949997,254.949997,254.949997,254.949997,213.952164,0
2018-06-13,253.940002,253.940002,253.940002,253.940002,213.104553,0
2018-06-14,254.639999,254.639999,254.639999,254.639999,213.691986,0
2018-06-15,253.259995,253.259995,253.259995,253.259995,213.495605,0
2018-06-18,252.729996,252.729996,252.729996,252.729996,213.048798,0
2018-06-19,251.720001,251.720001,251.720001,251.720001,212.197372,0
2018-06-20,252.149994,252.149994,252.149994,252.149994,212.559845,0
2018-06-21,250.580002,250.580002,250.580002,250.580002,211.236374,0
2018-06-22,251.050003,251.050003,251.050003,251.050003,211.632568,0
2018-06-25,247.610001,247.610001,247.610001,247.610001,208.732697,0
2018-06-26,248.149994,248.149994,248.149994,248.149994,209.187897,0
2018-06-27,246.020004,246.020004,246.020004,246.020004,207.392319,0
2018-06-28,247.570007,247.570007,247.570007,247.570007,208.698975,0
2018-06-29,247.770004,247.770004,247.770004,247.770004,208.867584,0
2018-07-02,248.539993,248.539993,248.539993,248.539993,209.516678,0
2018-07-03,247.309998,247.309998,247.309998,247.309998,208.479782,0
2018-07-05,249.500000,249.500000,249.500000,249.500000,210.325943,0
2018-07-06,251.639999,251.639999,251.639999,251.639999,212.129929,0
2018-07-09,253.929993,253.929993,253.929993,253.929993,214.060394,0
2018-07-10,254.820007,254.820007,254.820007,254.820007,214.810654,0
2018-07-11,253.009995,253.009995,253.009995,253.009995,213.284821,0
2018-07-12,255.250000,255.250000,255.250000,255.250000,215.173141,0
2018-07-13,255.520004,255.520004,255.520004,255.520004,215.400757,0
2018-07-16,255.270004,255.270004,255.270004,255.270004,215.189987,0
2018-07-17,256.290009,256.290009,256.290009,256.290009,216.049866,0
2018-07-18,256.839996,256.839996,256.839996,256.839996,216.513504,0
2018-07-19,255.860001,255.860001,255.860001,255.860001,215.687378,0
2018-07-20,255.619995,255.619995,255.619995,255.619995,215.485031,0
2018-07-23,256.089996,256.089996,256.089996,256.089996,215.881226,0
2018-07-24,257.329987,257.329987,257.329987,257.329987,216.926529,0
2018-07-25,259.670013,259.670013,259.670013,259.670013,218.899139,0
2018-07-26,258.890015,258.890015,258.890015,258.890015,218.241592,0
2018-07-27,257.190002,257.190002,257.190002,257.190002,216.808517,0
